num,com1-20,coma-l,comP1-P8,result1,result2,result3,average,,,,,,,,,,,
373,4,k,P5,52260 ,50470,51610,51446.67 ,,,,,,,,,,,
374,4,k,P6,220 ,170,470,286.67 ,,,,,,,,,,,
375,4,k,P7,130 ,60,110,100.00 ,,,,,,,,,,,
376,4,k,P8,420 ,300,460,393.33 ,,,,,,,,,,,
377,4,l,P1,260 ,300,540,366.67 ,,,,,,,,,,,
378,4,l,P2,370 ,480,460,436.67 ,,,,,,,,,,,
379,4,l,P3,490 ,600,870,653.33 ,,,,,,,,,,,
380,4,l,P4,120 ,280,130,176.67 ,,,,,,,,,,,
381,4,l,P5,37740 ,39350,43740,40276.67 ,,,,,,,,,,,
382,4,l,P6,1550 ,1530,1200,1426.67 ,,,,,,,,,,,
383,4,l,P7,1760 ,1740,1190,1563.33 ,,,,,,,,,,,
384,4,l,P8,2110 ,600,180,963.33 ,,,,,,,,,,,
385,5,a,P1,60 ,40,180,93.33 ,,,,,,,,,,,
386,5,a,P2,120 ,270,160,183.33 ,,,,,,,,,,,
387,5,a,P3,270 ,320,450,346.67 ,,,,,,,,,,,
388,5,a,P4,850 ,670,340,620.00 ,,,,,,,,,,,
389,5,a,P5,1120 ,1090,1770,1326.67 ,,,,,,,,,,,
390,5,a,P6,1050 ,920,880,950.00 ,,,,,,,,,,,
391,5,a,P7,460 ,470,550,493.33 ,,,,,,,,,,,
392,5,a,P8,160 ,280,320,253.33 ,,,,,,,,,,,
393,5,b,P1,60 ,120,150,110.00 ,,,,,,,,,,,
394,5,b,P2,80 ,60,70,70.00 ,,,,,,,,,,,
395,5,b,P3,200 ,150,190,180.00 ,,,,,,,,,,,
396,5,b,P4,1250 ,1430,1090,1256.67 ,,,,,,,,,,,
397,5,b,P5,4240 ,3910,4580,4243.33 ,,,,,,,,,,,
398,5,b,P6,2320 ,2180,2050,2183.33 ,,,,,,,,,,,
399,5,b,P7,490 ,550,630,556.67 ,,,,,,,,,,,
400,5,b,P8,210 ,250,270,243.33 ,,,,,,,,,,,
401,5,c,P1,280 ,210,330,273.33 ,,,,,,,,,,,
402,5,c,P2,580 ,610,770,653.33 ,,,,,,,,,,,
403,5,c,P3,240 ,310,450,333.33 ,,,,,,,,,,,
404,5,c,P4,1080 ,1170,1460,1236.67 ,,,,,,,,,,,
405,5,c,P5,5830 ,4920,5330,5360.00 ,,,,,,,,,,,
406,5,c,P6,5910 ,6120,6650,6226.67 ,,,,,,,,,,,
407,5,c,P7,3320 ,3470,3890,3560.00 ,,,,,,,,,,,
408,5,c,P8,220 ,310,590,373.33 ,,,,,,,,,,,
409,5,d,P1,80 ,120,70,90.00 ,,,,,,,,,,,
410,5,d,P2,250 ,780,510,513.33 ,,,,,,,,,,,
411,5,d,P3,330 ,560,820,570.00 ,,,,,,,,,,,
412,5,d,P4,1050 ,1200,1480,1243.33 ,,,,,,,,,,,
413,5,d,P5,6530 ,6680,7020,6743.33 ,,,,,,,,,,,
414,5,d,P6,5410 ,5210,5310,5310.00 ,,,,,,,,,,,
415,5,d,P7,850 ,620,630,700.00 ,,,,,,,,,,,
416,5,d,P8,480 ,250,330,353.33 ,,,,,,,,,,,
417,5,e,P1,440 ,510,860,603.33 ,,,,,,,,,,,
418,5,e,P2,110 ,90,110,103.33 ,,,,,,,,,,,
419,5,e,P3,660 ,470,570,566.67 ,,,,,,,,,,,
420,5,e,P4,880 ,430,260,523.33 ,,,,,,,,,,,
421,5,e,P5,7700 ,8270,8160,8043.33 ,,,,,,,,,,,
422,5,e,P6,1580 ,2510,1250,1780.00 ,,,,,,,,,,,
423,5,e,P7,670 ,530,440,546.67 ,,,,,,,,,,,
424,5,e,P8,320 ,430,340,363.33 ,,,,,,,,,,,
425,5,f,P1,220 ,100,90,136.67 ,,,,,,,,,,,
426,5,f,P2,920 ,630,510,686.67 ,,,,,,,,,,,
427,5,f,P3,230 ,150,70,150.00 ,,,,,,,,,,,
428,5,f,P4,100 ,100,100,100.00 ,,,,,,,,,,,
429,5,f,P5,8070 ,9080,8380,8510.00 ,,,,,,,,,,,
430,5,f,P6,190 ,140,110,146.67 ,,,,,,,,,,,
431,5,f,P7,170 ,90,100,120.00 ,,,,,,,,,,,
432,5,f,P8,120 ,70,100,96.67 ,,,,,,,,,,,
433,5,g,P1,510 ,610,600,573.33 ,,,,,,,,,,,
434,5,g,P2,700 ,820,720,746.67 ,,,,,,,,,,,
435,5,g,P3,410 ,520,460,463.33 ,,,,,,,,,,,
436,5,g,P4,230 ,220,220,223.33 ,,,,,,,,,,,
437,5,g,P5,9360 ,9530,9340,9410.00 ,,,,,,,,,,,
438,5,g,P6,1320 ,1420,1480,1406.67 ,,,,,,,,,,,
439,5,g,P7,450 ,870,920,746.67 ,,,,,,,,,,,
440,5,g,P8,1450 ,1850,2530,1943.33 ,,,,,,,,,,,
441,5,h,P1,280 ,170,120,190.00 ,,,,,,,,,,,
442,5,h,P2,560 ,510,730,600.00 ,,,,,,,,,,,
443,5,h,P3,1420 ,1440,1230,1363.33 ,,,,,,,,,,,
444,5,h,P4,520 ,300,550,456.67 ,,,,,,,,,,,
445,5,h,P5,28130 ,28090,27540,27920.00 ,,,,,,,,,,,
446,5,h,P6,700 ,640,750,696.67 ,,,,,,,,,,,
447,5,h,P7,690 ,930,850,823.33 ,,,,,,,,,,,
448,5,h,P8,3090 ,2510,2350,2650.00 ,,,,,,,,,,,
449,5,i,P1,2840 ,2760,3070,2890.00 ,,,,,,,,,,,
450,5,i,P2,5740 ,6320,5280,5780.00 ,,,,,,,,,,,
451,5,i,P3,11800 ,16750,11090,13213.33 ,,,,,,,,,,,
452,5,i,P4,18020 ,18800,10930,15916.67 ,,,,,,,,,,,
453,5,i,P5,95270 ,107400,102050,101573.33 ,,,,,,,,,,,
454,5,i,P6,22240 ,19970,15520,19243.33 ,,,,,,,,,,,
455,5,i,P7,36420 ,43290,49420,43043.33 ,,,,,,,,,,,
456,5,i,P8,15170 ,15270,16410,15616.67 ,,,,,,,,,,,
457,5,j,P1,80 ,60,110,83.33 ,,,,,,,,,,,
458,5,j,P2,180 ,250,320,250.00 ,,,,,,,,,,,
459,5,j,P3,1530 ,1550,1560,1546.67 ,,,,,,,,,,,
460,5,j,P4,75320 ,80450,83960,79910.00 ,,,,,,,,,,,
461,5,j,P5,86570 ,72090,70630,76430.00 ,,,,,,,,,,,
462,5,j,P6,25730 ,24730,26590,25683.33 ,,,,,,,,,,,
463,5,j,P7,900 ,750,950,866.67 ,,,,,,,,,,,
464,5,j,P8,250 ,120,280,216.67 ,,,,,,,,,,,
465,5,k,P1,170 ,190,230,196.67 ,,,,,,,,,,,
466,5,k,P2,850 ,620,410,626.67 ,,,,,,,,,,,
467,5,k,P3,1570 ,1430,1040,1346.67 ,,,,,,,,,,,
468,5,k,P4,6830 ,5090,6670,6196.67 ,,,,,,,,,,,
469,5,k,P5,35270 ,49940,55260,46823.33 ,,,,,,,,,,,
470,5,k,P6,4470 ,4700,5020,4730.00 ,,,,,,,,,,,
471,5,k,P7,6080 ,6480,6160,6240.00 ,,,,,,,,,,,
472,5,k,P8,2560 ,2160,2570,2430.00 ,,,,,,,,,,,
473,5,l,P1,520 ,740,660,640.00 ,,,,,,,,,,,
474,5,l,P2,1080 ,1430,1250,1253.33 ,,,,,,,,,,,
475,5,l,P3,2170 ,1660,1630,1820.00 ,,,,,,,,,,,
476,5,l,P4,5780 ,5390,4750,5306.67 ,,,,,,,,,,,
477,5,l,P5,11300 ,15170,13900,13456.67 ,,,,,,,,,,,
478,5,l,P6,6390 ,5990,7480,6620.00 ,,,,,,,,,,,
479,5,l,P7,1590 ,1700,2170,1820.00 ,,,,,,,,,,,
480,5,l,P8,740 ,590,650,660.00 ,,,,,,,,,,,
481,6,a,P1,120 ,60,80,86.67 ,,,,,,,,,,,
482,6,a,P2,170 ,180,230,193.33 ,,,,,,,,,,,
483,6,a,P3,1090 ,980,1280,1116.67 ,,,,,,,,,,,
484,6,a,P4,3920 ,2670,2930,3173.33 ,,,,,,,,,,,
485,6,a,P5,6980 ,6530,7830,7113.33 ,,,,,,,,,,,
486,6,a,P6,5420 ,5110,4930,5153.33 ,,,,,,,,,,,
487,6,a,P7,560 ,670,420,550.00 ,,,,,,,,,,,
488,6,a,P8,180 ,230,350,253.33 ,,,,,,,,,,,
489,6,b,P1,170 ,290,440,300.00 ,,,,,,,,,,,
490,6,b,P2,650 ,520,760,643.33 ,,,,,,,,,,,
491,6,b,P3,1870 ,2130,2360,2120.00 ,,,,,,,,,,,
492,6,b,P4,5930 ,5120,6970,6006.67 ,,,,,,,,,,,
493,6,b,P5,4480 ,4320,4880,4560.00 ,,,,,,,,,,,
494,6,b,P6,1860 ,1740,2030,1876.67 ,,,,,,,,,,,
495,6,b,P7,250 ,170,180,200.00 ,,,,,,,,,,,
496,6,b,P8,70 ,20,90,60.00 ,,,,,,,,,,,
497,6,c,P1,50 ,80,130,86.67 ,,,,,,,,,,,
498,6,c,P2,230 ,160,270,220.00 ,,,,,,,,,,,
499,6,c,P3,510 ,590,670,590.00 ,,,,,,,,,,,
500,6,c,P4,2160 ,2580,1750,2163.33 ,,,,,,,,,,,
501,6,c,P5,14920 ,14320,15120,14786.67 ,,,,,,,,,,,
502,6,c,P6,3510 ,4620,4790,4306.67 ,,,,,,,,,,,
503,6,c,P7,250 ,360,480,363.33 ,,,,,,,,,,,
504,6,c,P8,110 ,150,360,206.67 ,,,,,,,,,,,
505,6,d,P1,50 ,80,150,93.33 ,,,,,,,,,,,
506,6,d,P2,160 ,250,310,240.00 ,,,,,,,,,,,
507,6,d,P3,860 ,770,850,826.67 ,,,,,,,,,,,
508,6,d,P4,2580 ,2100,2340,2340.00 ,,,,,,,,,,,
509,6,d,P5,27900 ,26810,25340,26683.33 ,,,,,,,,,,,
510,6,d,P6,19870 ,15960,18340,18056.67 ,,,,,,,,,,,
511,6,d,P7,3280 ,2940,3530,3250.00 ,,,,,,,,,,,
512,6,d,P8,290 ,360,430,360.00 ,,,,,,,,,,,
513,6,e,P1,170 ,230,170,190.00 ,,,,,,,,,,,
514,6,e,P2,650 ,600,570,606.67 ,,,,,,,,,,,
515,6,e,P3,1450 ,1270,1100,1273.33 ,,,,,,,,,,,
516,6,e,P4,4340 ,6520,5590,5483.33 ,,,,,,,,,,,
517,6,e,P5,28710 ,23900,28410,27006.67 ,,,,,,,,,,,
518,6,e,P6,5890 ,6550,7980,6806.67 ,,,,,,,,,,,
519,6,e,P7,1270 ,1850,5000,2706.67 ,,,,,,,,,,,
520,6,e,P8,1060 ,1810,2770,1880.00 ,,,,,,,,,,,
521,6,f,P1,60 ,30,30,40.00 ,,,,,,,,,,,
522,6,f,P2,720 ,960,2170,1283.33 ,,,,,,,,,,,
523,6,f,P3,90 ,120,200,136.67 ,,,,,,,,,,,
524,6,f,P4,3920 ,5560,14610,8030.00 ,,,,,,,,,,,
525,6,f,P5,45830 ,19640,17640,27703.33 ,,,,,,,,,,,
526,6,f,P6,18160 ,14260,13520,15313.33 ,,,,,,,,,,,
527,6,f,P7,70 ,60,90,73.33 ,,,,,,,,,,,
528,6,f,P8,470 ,260,260,330.00 ,,,,,,,,,,,
529,6,g,P1,120 ,60,80,86.67 ,,,,,,,,,,,
530,6,g,P2,30 ,0,40,23.33 ,,,,,,,,,,,
531,6,g,P3,650 ,360,530,513.33 ,,,,,,,,,,,
532,6,g,P4,12830 ,13490,12140,12820.00 ,,,,,,,,,,,
533,6,g,P5,43030 ,22970,14400,26800.00 ,,,,,,,,,,,
534,6,g,P6,2170 ,1280,920,1456.67 ,,,,,,,,,,,
535,6,g,P7,540 ,540,390,490.00 ,,,,,,,,,,,
536,6,g,P8,280 ,360,210,283.33 ,,,,,,,,,,,
537,6,h,P1,230 ,180,330,246.67 ,,,,,,,,,,,
538,6,h,P2,3470 ,3800,4210,3826.67 ,,,,,,,,,,,
539,6,h,P3,12490 ,15240,24800,17510.00 ,,,,,,,,,,,
540,6,h,P4,105420 ,108770,115220,109803.33 ,,,,,,,,,,,
541,6,h,P5,154500 ,163420,153960,157293.33 ,,,,,,,,,,,
542,6,h,P6,21950 ,22060,32170,25393.33 ,,,,,,,,,,,
543,6,h,P7,7350 ,6780,5690,6606.67 ,,,,,,,,,,,
544,6,h,P8,9380 ,9060,9530,9323.33 ,,,,,,,,,,,
545,6,i,P1,350 ,230,180,253.33 ,,,,,,,,,,,
546,6,i,P2,6200 ,7180,6710,6696.67 ,,,,,,,,,,,
547,6,i,P3,13300 ,15400,14280,14326.67 ,,,,,,,,,,,
548,6,i,P4,23860 ,24820,23720,24133.33 ,,,,,,,,,,,
549,6,i,P5,272080 ,243590,228100,247923.33 ,,,,,,,,,,,
550,6,i,P6,132380 ,111150,110550,118026.67 ,,,,,,,,,,,
551,6,i,P7,26340 ,19700,15870,20636.67 ,,,,,,,,,,,
552,6,i,P8,14900 ,10410,11040,12116.67 ,,,,,,,,,,,
553,6,j,P1,80 ,60,110,83.33 ,,,,,,,,,,,
554,6,j,P2,560 ,470,330,453.33 ,,,,,,,,,,,
555,6,j,P3,1560 ,1400,1320,1426.67 ,,,,,,,,,,,
556,6,j,P4,480 ,530,980,663.33 ,,,,,,,,,,,
557,6,j,P5,35650 ,35930,36520,36033.33 ,,,,,,,,,,,
558,6,j,P6,750 ,720,1380,950.00 ,,,,,,,,,,,
559,6,j,P7,590 ,790,1700,1026.67 ,,,,,,,,,,,
560,6,j,P8,510 ,570,1750,943.33 ,,,,,,,,,,,
561,6,k,P1,220 ,170,110,166.67 ,,,,,,,,,,,
562,6,k,P2,240 ,260,380,293.33 ,,,,,,,,,,,
563,6,k,P3,370 ,400,1390,720.00 ,,,,,,,,,,,
564,6,k,P4,230 ,290,400,306.67 ,,,,,,,,,,,
565,6,k,P5,31110 ,32120,29920,31050.00 ,,,,,,,,,,,
566,6,k,P6,960 ,950,980,963.33 ,,,,,,,,,,,
567,6,k,P7,770 ,750,780,766.67 ,,,,,,,,,,,
568,6,k,P8,480 ,550,970,666.67 ,,,,,,,,,,,
569,6,l,P1,70 ,50,80,66.67 ,,,,,,,,,,,
570,6,l,P2,280 ,390,320,330.00 ,,,,,,,,,,,
571,6,l,P3,1850 ,1750,1720,1773.33 ,,,,,,,,,,,
572,6,l,P4,25460 ,12400,20160,19340.00 ,,,,,,,,,,,
573,6,l,P5,57130 ,54930,60580,57546.67 ,,,,,,,,,,,
574,6,l,P6,32830 ,35240,40340,36136.67 ,,,,,,,,,,,
575,6,l,P7,1420 ,1670,1710,1600.00 ,,,,,,,,,,,
576,6,l,P8,610 ,640,680,643.33 ,,,,,,,,,,,
577,7,a,P1,210 ,230,190,210.00 ,,,,,,,,,,,
578,7,a,P2,580 ,690,720,663.33 ,,,,,,,,,,,
579,7,a,P3,1630 ,1520,1780,1643.33 ,,,,,,,,,,,
580,7,a,P4,2840 ,2920,2530,2763.33 ,,,,,,,,,,,
581,7,a,P5,12580 ,14760,15430,14256.67 ,,,,,,,,,,,
582,7,a,P6,7620 ,7890,6210,7240.00 ,,,,,,,,,,,
583,7,a,P7,3270 ,3490,2980,3246.67 ,,,,,,,,,,,
584,7,a,P8,890 ,710,690,763.33 ,,,,,,,,,,,
585,7,b,P1,180 ,120,210,170.00 ,,,,,,,,,,,
586,7,b,P2,360 ,470,280,370.00 ,,,,,,,,,,,
587,7,b,P3,870 ,740,960,856.67 ,,,,,,,,,,,
588,7,b,P4,1100 ,1450,1210,1253.33 ,,,,,,,,,,,
589,7,b,P5,19680 ,13200,12660,15180.00 ,,,,,,,,,,,
590,7,b,P6,1020 ,1540,1320,1293.33 ,,,,,,,,,,,
591,7,b,P7,840 ,790,660,763.33 ,,,,,,,,,,,
592,7,b,P8,540 ,670,720,643.33 ,,,,,,,,,,,
593,7,c,P1,120 ,160,100,126.67 ,,,,,,,,,,,
594,7,c,P2,180 ,160,100,146.67 ,,,,,,,,,,,
595,7,c,P3,980 ,860,930,923.33 ,,,,,,,,,,,
596,7,c,P4,1980 ,1270,1650,1633.33 ,,,,,,,,,,,
597,7,c,P5,21030 ,19420,17960,19470.00 ,,,,,,,,,,,
598,7,c,P6,2180 ,1480,1940,1866.67 ,,,,,,,,,,,
599,7,c,P7,860 ,810,700,790.00 ,,,,,,,,,,,
600,7,c,P8,320 ,250,190,253.33 ,,,,,,,,,,,
601,7,d,P1,480 ,410,510,466.67 ,,,,,,,,,,,
602,7,d,P2,140 ,280,470,296.67 ,,,,,,,,,,,
603,7,d,P3,660 ,530,520,570.00 ,,,,,,,,,,,
604,7,d,P4,920 ,830,870,873.33 ,,,,,,,,,,,
605,7,d,P5,19340 ,16280,15390,17003.33 ,,,,,,,,,,,
606,7,d,P6,20100 ,19830,14840,18256.67 ,,,,,,,,,,,
607,7,d,P7,8640 ,8360,7250,8083.33 ,,,,,,,,,,,
608,7,d,P8,1320 ,1580,1660,1520.00 ,,,,,,,,,,,
609,7,e,P1,160 ,260,640,353.33 ,,,,,,,,,,,
610,7,e,P2,830 ,970,840,880.00 ,,,,,,,,,,,
611,7,e,P3,1340 ,1760,1250,1450.00 ,,,,,,,,,,,
612,7,e,P4,1670 ,1950,1730,1783.33 ,,,,,,,,,,,
613,7,e,P5,25580 ,26550,27770,26633.33 ,,,,,,,,,,,
614,7,e,P6,20990 ,19950,15380,18773.33 ,,,,,,,,,,,
615,7,e,P7,8090 ,7220,7790,7700.00 ,,,,,,,,,,,
616,7,e,P8,7150 ,7580,7280,7336.67 ,,,,,,,,,,,
617,7,f,P1,9580 ,5820,5580,6993.33 ,,,,,,,,,,,
618,7,f,P2,1960 ,1210,1410,1526.67 ,,,,,,,,,,,
619,7,f,P3,870 ,520,640,676.67 ,,,,,,,,,,,
620,7,f,P4,5720 ,7810,7750,7093.33 ,,,,,,,,,,,
621,7,f,P5,35340 ,38930,38540,37603.33 ,,,,,,,,,,,
622,7,f,P6,2610 ,2760,2410,2593.33 ,,,,,,,,,,,
623,7,f,P7,450 ,330,490,423.33 ,,,,,,,,,,,
624,7,f,P8,490 ,550,730,590.00 ,,,,,,,,,,,
625,7,g,P1,740 ,590,910,746.67 ,,,,,,,,,,,
626,7,g,P2,5860 ,8270,6520,6883.33 ,,,,,,,,,,,
627,7,g,P3,3020 ,2520,2770,2770.00 ,,,,,,,,,,,
628,7,g,P4,2460 ,2960,3930,3116.67 ,,,,,,,,,,,
629,7,g,P5,449730 ,41230,48670,179876.67 ,,,,,,,,,,,
630,7,g,P6,38170 ,43350,53930,45150.00 ,,,,,,,,,,,
631,7,g,P7,12600 ,11330,19280,14403.33 ,,,,,,,,,,,
632,7,g,P8,1660 ,290,520,823.33 ,,,,,,,,,,,
633,7,h,P1,320 ,470,650,480.00 ,,,,,,,,,,,
634,7,h,P2,860 ,710,730,766.67 ,,,,,,,,,,,
635,7,h,P3,1190 ,380,130,566.67 ,,,,,,,,,,,
636,7,h,P4,1540 ,470,120,710.00 ,,,,,,,,,,,
637,7,h,P5,101480 ,102720,99130,101110.00 ,,,,,,,,,,,
638,7,h,P6,1860 ,520,140,840.00 ,,,,,,,,,,,
639,7,h,P7,1390 ,360,160,636.67 ,,,,,,,,,,,
640,7,h,P8,470 ,150,110,243.33 ,,,,,,,,,,,
641,7,i,P1,1910 ,1830,1860,1866.67 ,,,,,,,,,,,
642,7,i,P2,2950 ,2470,2680,2700.00 ,,,,,,,,,,,
643,7,i,P3,5820 ,6550,6740,6370.00 ,,,,,,,,,,,
644,7,i,P4,6280 ,5260,4850,5463.33 ,,,,,,,,,,,
645,7,i,P5,143780 ,124590,135150,134506.67 ,,,,,,,,,,,
646,7,i,P6,21720 ,23810,24160,23230.00 ,,,,,,,,,,,
647,7,i,P7,18490 ,9700,10340,12843.33 ,,,,,,,,,,,
648,7,i,P8,8310 ,8580,7420,8103.33 ,,,,,,,,,,,
649,7,j,P1,180 ,170,320,223.33 ,,,,,,,,,,,
650,7,j,P2,570 ,560,630,586.67 ,,,,,,,,,,,
651,7,j,P3,900 ,840,850,863.33 ,,,,,,,,,,,
652,7,j,P4,890 ,750,550,730.00 ,,,,,,,,,,,
653,7,j,P5,82570 ,67590,77300,75820.00 ,,,,,,,,,,,
654,7,j,P6,55950 ,54160,47650,52586.67 ,,,,,,,,,,,
655,7,j,P7,52280 ,27130,23230,34213.33 ,,,,,,,,,,,
656,7,j,P8,8600 ,7270,6330,7400.00 ,,,,,,,,,,,
657,7,k,P1,840 ,910,860,870.00 ,,,,,,,,,,,
658,7,k,P2,1560 ,1680,1740,1660.00 ,,,,,,,,,,,
659,7,k,P3,3180 ,4070,5130,4126.67 ,,,,,,,,,,,
660,7,k,P4,14850 ,12700,16410,14653.33 ,,,,,,,,,,,
661,7,k,P5,62730 ,79440,88420,76863.33 ,,,,,,,,,,,
662,7,k,P6,55790 ,38730,47620,47380.00 ,,,,,,,,,,,
663,7,k,P7,7250 ,9510,8800,8520.00 ,,,,,,,,,,,
664,7,k,P8,5220 ,5650,5760,5543.33 ,,,,,,,,,,,
665,7,l,P1,450 ,480,620,516.67 ,,,,,,,,,,,
666,7,l,P2,1080 ,920,960,986.67 ,,,,,,,,,,,
667,7,l,P3,1440 ,2410,3620,2490.00 ,,,,,,,,,,,
668,7,l,P4,3060 ,3430,3570,3353.33 ,,,,,,,,,,,
669,7,l,P5,44410 ,48590,50540,47846.67 ,,,,,,,,,,,
670,7,l,P6,3290 ,3830,4060,3726.67 ,,,,,,,,,,,
671,7,l,P7,2940 ,2750,1500,2396.67 ,,,,,,,,,,,
672,7,l,P8,2640 ,2140,1880,2220.00 ,,,,,,,,,,,
673,8,a,P1,50 ,70,160,93.33 ,,,,,,,,,,,
674,8,a,P2,380 ,250,230,286.67 ,,,,,,,,,,,
675,8,a,P3,930 ,860,730,840.00 ,,,,,,,,,,,
676,8,a,P4,6450 ,4800,5610,5620.00 ,,,,,,,,,,,
677,8,a,P5,10850 ,11350,10600,10933.33 ,,,,,,,,,,,
678,8,a,P6,3580 ,4620,3810,4003.33 ,,,,,,,,,,,
679,8,a,P7,830 ,1020,950,933.33 ,,,,,,,,,,,
680,8,a,P8,260 ,140,120,173.33 ,,,,,,,,,,,
681,8,b,P1,130 ,170,210,170.00 ,,,,,,,,,,,
682,8,b,P2,350 ,460,380,396.67 ,,,,,,,,,,,
683,8,b,P3,1360 ,1520,1480,1453.33 ,,,,,,,,,,,
684,8,b,P4,5420 ,4330,5630,5126.67 ,,,,,,,,,,,
685,8,b,P5,11480 ,10570,11220,11090.00 ,,,,,,,,,,,
686,8,b,P6,4280 ,4930,4530,4580.00 ,,,,,,,,,,,
687,8,b,P7,650 ,660,750,686.67 ,,,,,,,,,,,
688,8,b,P8,120 ,80,70,90.00 ,,,,,,,,,,,
689,8,c,P1,60 ,40,230,110.00 ,,,,,,,,,,,
690,8,c,P2,450 ,360,390,400.00 ,,,,,,,,,,,
691,8,c,P3,1080 ,960,1130,1056.67 ,,,,,,,,,,,
692,8,c,P4,3420 ,4810,5230,4486.67 ,,,,,,,,,,,
693,8,c,P5,11290 ,11300,12640,11743.33 ,,,,,,,,,,,
694,8,c,P6,1510 ,1670,1780,1653.33 ,,,,,,,,,,,
695,8,c,P7,610 ,850,720,726.67 ,,,,,,,,,,,
696,8,c,P8,330 ,390,270,330.00 ,,,,,,,,,,,
697,8,d,P1,140 ,180,220,180.00 ,,,,,,,,,,,
698,8,d,P2,480 ,410,860,583.33 ,,,,,,,,,,,
699,8,d,P3,1860 ,2540,1930,2110.00 ,,,,,,,,,,,
700,8,d,P4,4860 ,5120,5300,5093.33 ,,,,,,,,,,,
701,8,d,P5,10510 ,13620,12450,12193.33 ,,,,,,,,,,,
702,8,d,P6,2890 ,3860,2520,3090.00 ,,,,,,,,,,,
703,8,d,P7,850 ,760,640,750.00 ,,,,,,,,,,,
704,8,d,P8,130 ,250,210,196.67 ,,,,,,,,,,,
705,8,e,P1,80 ,70,160,103.33 ,,,,,,,,,,,
706,8,e,P2,350 ,310,530,396.67 ,,,,,,,,,,,
707,8,e,P3,2590 ,2410,2430,2476.67 ,,,,,,,,,,,
708,8,e,P4,2110 ,3040,3680,2943.33 ,,,,,,,,,,,
709,8,e,P5,22200 ,25070,39010,28760.00 ,,,,,,,,,,,
710,8,e,P6,3620 ,2550,3210,3126.67 ,,,,,,,,,,,
711,8,e,P7,380 ,300,360,346.67 ,,,,,,,,,,,
712,8,e,P8,1490 ,330,550,790.00 ,,,,,,,,,,,
713,8,f,P1,420 ,220,180,273.33 ,,,,,,,,,,,
714,8,f,P2,270 ,220,350,280.00 ,,,,,,,,,,,
715,8,f,P3,310 ,140,270,240.00 ,,,,,,,,,,,
716,8,f,P4,10890 ,8950,12720,10853.33 ,,,,,,,,,,,
717,8,f,P5,12860 ,10720,11350,11643.33 ,,,,,,,,,,,
718,8,f,P6,17490 ,14450,21600,17846.67 ,,,,,,,,,,,
719,8,f,P7,3930 ,3640,4680,4083.33 ,,,,,,,,,,,
720,8,f,P8,710 ,760,830,766.67 ,,,,,,,,,,,
721,8,g,P1,3930 ,4500,5450,4626.67 ,,,,,,,,,,,
722,8,g,P2,4800 ,4850,5560,5070.00 ,,,,,,,,,,,
723,8,g,P3,880 ,1380,1780,1346.67 ,,,,,,,,,,,
724,8,g,P4,6140 ,6230,6430,6266.67 ,,,,,,,,,,,
725,8,g,P5,14220 ,14690,14160,14356.67 ,,,,,,,,,,,
726,8,g,P6,3850 ,3620,3270,3580.00 ,,,,,,,,,,,
727,8,g,P7,5150 ,4410,5290,4950.00 ,,,,,,,,,,,
728,8,g,P8,4330 ,4570,4850,4583.33 ,,,,,,,,,,,
729,8,h,P1,80 ,120,170,123.33 ,,,,,,,,,,,
730,8,h,P2,360 ,420,430,403.33 ,,,,,,,,,,,
731,8,h,P3,660 ,720,710,696.67 ,,,,,,,,,,,
732,8,h,P4,2840 ,1550,1070,1820.00 ,,,,,,,,,,,
733,8,h,P5,30730 ,32180,28110,30340.00 ,,,,,,,,,,,
734,8,h,P6,3050 ,2820,1970,2613.33 ,,,,,,,,,,,
735,8,h,P7,4230 ,3440,2610,3426.67 ,,,,,,,,,,,
736,8,h,P8,880 ,920,900,900.00 ,,,,,,,,,,,
737,8,i,P1,280 ,310,470,353.33 ,,,,,,,,,,,
738,8,i,P2,690 ,750,820,753.33 ,,,,,,,,,,,
739,8,i,P3,2860 ,2260,1700,2273.33 ,,,,,,,,,,,
740,8,i,P4,1680 ,1430,940,1350.00 ,,,,,,,,,,,
741,8,i,P5,73690 ,45710,60820,60073.33 ,,,,,,,,,,,
742,8,i,P6,18080 ,10750,14000,14276.67 ,,,,,,,,,,,
743,8,i,P7,8030 ,7370,7340,7580.00 ,,,,,,,,,,,
744,8,i,P8,4640 ,6080,4950,5223.33 ,,,,,,,,,,,
745,8,j,P1,210 ,180,120,170.00 ,,,,,,,,,,,
746,8,j,P2,1930 ,1860,1470,1753.33 ,,,,,,,,,,,
747,8,j,P3,8840 ,7620,6920,7793.33 ,,,,,,,,,,,
748,8,j,P4,2050 ,2220,2250,2173.33 ,,,,,,,,,,,
749,8,j,P5,37670 ,39030,30820,35840.00 ,,,,,,,,,,,
750,8,j,P6,8510 ,7940,6610,7686.67 ,,,,,,,,,,,
751,8,j,P7,7010 ,6080,7120,6736.67 ,,,,,,,,,,,
752,8,j,P8,5140 ,5050,4510,4900.00 ,,,,,,,,,,,
753,8,k,P1,180 ,160,210,183.33 ,,,,,,,,,,,
754,8,k,P2,350 ,390,450,396.67 ,,,,,,,,,,,
755,8,k,P3,3030 ,3850,2770,3216.67 ,,,,,,,,,,,
756,8,k,P4,3790 ,2030,5730,3850.00 ,,,,,,,,,,,
757,8,k,P5,20860 ,23460,21110,21810.00 ,,,,,,,,,,,
