num,com1-20,coma-l,comP1-P8,result1,result2,result3,average,,,,,,,,,,,
84,1,k,P4,41740 ,41170,43370,42093.33 ,,,,,,,,,,,
85,1,k,P5,198830 ,196960,205310,200366.67 ,,,,,,,,,,,
86,1,k,P6,65880 ,69350,69270,68166.67 ,,,,,,,,,,,
87,1,k,P7,54150 ,56780,59260,56730.00 ,,,,,,,,,,,
88,1,k,P8,42970 ,34380,40400,39250.00 ,,,,,,,,,,,
89,1,l,P1,43280 ,42680,40110,42023.33 ,,,,,,,,,,,
90,1,l,P2,32840 ,35120,36970,34976.67 ,,,,,,,,,,,
91,1,l,P3,65130 ,71290,70470,68963.33 ,,,,,,,,,,,
92,1,l,P4,77930 ,75180,74460,75856.67 ,,,,,,,,,,,
93,1,l,P5,103900 ,93300,112800,103333.33 ,,,,,,,,,,,
94,1,l,P6,56680 ,58070,58700,57816.67 ,,,,,,,,,,,
95,1,l,P7,40810 ,38850,42770,40810.00 ,,,,,,,,,,,
96,1,l,P8,23340 ,26510,25520,25123.33 ,,,,,,,,,,,
97,2,a,P1,60 ,50,50,53.33 ,,,,,,,,,,,
98,2,a,P2,410 ,140,140,230.00 ,,,,,,,,,,,
99,2,a,P3,1860 ,2540,2180,2193.33 ,,,,,,,,,,,
100,2,a,P4,3670 ,4020,3890,3860.00 ,,,,,,,,,,,
101,2,a,P5,5120 ,6030,5530,5560.00 ,,,,,,,,,,,
102,2,a,P6,15780 ,13260,14800,14613.33 ,,,,,,,,,,,
103,2,a,P7,10840 ,9610,8420,9623.33 ,,,,,,,,,,,
104,2,a,P8,8310 ,6320,7790,7473.33 ,,,,,,,,,,,
105,2,b,P1,680 ,450,580,570.00 ,,,,,,,,,,,
106,2,b,P2,1140 ,1090,1260,1163.33 ,,,,,,,,,,,
107,2,b,P3,4850 ,6700,5480,5676.67 ,,,,,,,,,,,
108,2,b,P4,12470 ,18640,16840,15983.33 ,,,,,,,,,,,
109,2,b,P5,35760 ,32140,33910,33936.67 ,,,,,,,,,,,
110,2,b,P6,42010 ,39840,43520,41790.00 ,,,,,,,,,,,
111,2,b,P7,22140 ,23760,25680,23860.00 ,,,,,,,,,,,
112,2,b,P8,7380 ,6570,7240,7063.33 ,,,,,,,,,,,
113,2,c,P1,710 ,470,340,506.67 ,,,,,,,,,,,
114,2,c,P2,630 ,620,550,600.00 ,,,,,,,,,,,
115,2,c,P3,3840 ,3610,3740,3730.00 ,,,,,,,,,,,
116,2,c,P4,9810 ,8840,6790,8480.00 ,,,,,,,,,,,
117,2,c,P5,36520 ,33790,32330,34213.33 ,,,,,,,,,,,
118,2,c,P6,25810 ,26740,23370,25306.67 ,,,,,,,,,,,
119,2,c,P7,7820 ,6540,7110,7156.67 ,,,,,,,,,,,
120,2,c,P8,980 ,920,790,896.67 ,,,,,,,,,,,
121,2,d,P1,1580 ,1430,1760,1590.00 ,,,,,,,,,,,
122,2,d,P2,3860 ,4050,4180,4030.00 ,,,,,,,,,,,
123,2,d,P3,5970 ,6020,6180,6056.67 ,,,,,,,,,,,
124,2,d,P4,10840 ,9840,9670,10116.67 ,,,,,,,,,,,
125,2,d,P5,48610 ,43850,47410,46623.33 ,,,,,,,,,,,
126,2,d,P6,51280 ,53820,56470,53856.67 ,,,,,,,,,,,
127,2,d,P7,10280 ,10170,10930,10460.00 ,,,,,,,,,,,
128,2,d,P8,5980 ,4320,5480,5260.00 ,,,,,,,,,,,
129,2,e,P1,1490 ,1220,1250,1320.00 ,,,,,,,,,,,
130,2,e,P2,3450 ,3530,3570,3516.67 ,,,,,,,,,,,
131,2,e,P3,10850 ,11490,12470,11603.33 ,,,,,,,,,,,
132,2,e,P4,38540 ,36270,32270,35693.33 ,,,,,,,,,,,
133,2,e,P5,59780 ,56130,54260,56723.33 ,,,,,,,,,,,
134,2,e,P6,48430 ,45870,48730,47676.67 ,,,,,,,,,,,
135,2,e,P7,15810 ,15770,14320,15300.00 ,,,,,,,,,,,
136,2,e,P8,9670 ,8750,9610,9343.33 ,,,,,,,,,,,
137,2,f,P1,2210 ,2230,2340,2260.00 ,,,,,,,,,,,
138,2,f,P2,4250 ,4240,4310,4266.67 ,,,,,,,,,,,
139,2,f,P3,15860 ,17490,16840,16730.00 ,,,,,,,,,,,
140,2,f,P4,49830 ,42580,43660,45356.67 ,,,,,,,,,,,
141,2,f,P5,54980 ,52160,57910,55016.67 ,,,,,,,,,,,
142,2,f,P6,32480 ,33490,34860,33610.00 ,,,,,,,,,,,
143,2,f,P7,10380 ,12370,10930,11226.67 ,,,,,,,,,,,
144,2,f,P8,4390 ,4210,4080,4226.67 ,,,,,,,,,,,
145,2,g,P1,1070 ,1060,990,1040.00 ,,,,,,,,,,,
146,2,g,P2,8070 ,8350,9670,8696.67 ,,,,,,,,,,,
147,2,g,P3,16850 ,17240,18270,17453.33 ,,,,,,,,,,,
148,2,g,P4,51840 ,53280,58610,54576.67 ,,,,,,,,,,,
149,2,g,P5,68540 ,65180,63290,65670.00 ,,,,,,,,,,,
150,2,g,P6,42840 ,47920,45510,45423.33 ,,,,,,,,,,,
151,2,g,P7,28900 ,30850,29670,29806.67 ,,,,,,,,,,,
152,2,g,P8,11250 ,12760,11880,11963.33 ,,,,,,,,,,,
153,2,h,P1,1890 ,2040,1960,1963.33 ,,,,,,,,,,,
154,2,h,P2,2730 ,2860,2910,2833.33 ,,,,,,,,,,,
155,2,h,P3,3420 ,4060,3380,3620.00 ,,,,,,,,,,,
156,2,h,P4,12330 ,11680,8820,10943.33 ,,,,,,,,,,,
157,2,h,P5,88200 ,98540,77710,88150.00 ,,,,,,,,,,,
158,2,h,P6,20120 ,15790,20520,18810.00 ,,,,,,,,,,,
159,2,h,P7,19130 ,17630,17770,18176.67 ,,,,,,,,,,,
160,2,h,P8,1230 ,920,880,1010.00 ,,,,,,,,,,,
161,2,i,P1,13200 ,10080,12430,11903.33 ,,,,,,,,,,,
162,2,i,P2,22530 ,20810,21640,21660.00 ,,,,,,,,,,,
163,2,i,P3,24910 ,25590,28920,26473.33 ,,,,,,,,,,,
164,2,i,P4,114540 ,132750,104210,117166.67 ,,,,,,,,,,,
165,2,i,P5,170220 ,179000,168180,172466.67 ,,,,,,,,,,,
166,2,i,P6,39860 ,34700,37050,37203.33 ,,,,,,,,,,,
167,2,i,P7,18650 ,18270,18620,18513.33 ,,,,,,,,,,,
168,2,i,P8,8090 ,7420,6030,7180.00 ,,,,,,,,,,,
169,2,j,P1,10980 ,11340,12750,11690.00 ,,,,,,,,,,,
170,2,j,P2,13280 ,15790,16240,15103.33 ,,,,,,,,,,,
171,2,j,P3,21720 ,16350,16920,18330.00 ,,,,,,,,,,,
172,2,j,P4,38280 ,37880,36460,37540.00 ,,,,,,,,,,,
173,2,j,P5,84500 ,84590,85930,85006.67 ,,,,,,,,,,,
174,2,j,P6,4360 ,6640,8240,6413.33 ,,,,,,,,,,,
175,2,j,P7,2950 ,2730,4300,3326.67 ,,,,,,,,,,,
176,2,j,P8,1810 ,970,680,1153.33 ,,,,,,,,,,,
177,2,k,P1,1480 ,1660,1930,1690.00 ,,,,,,,,,,,
178,2,k,P2,3580 ,3240,4070,3630.00 ,,,,,,,,,,,
179,2,k,P3,6840 ,7180,9280,7766.67 ,,,,,,,,,,,
180,2,k,P4,9030 ,14110,7590,10243.33 ,,,,,,,,,,,
181,2,k,P5,76510 ,77300,75080,76296.67 ,,,,,,,,,,,
182,2,k,P6,12250 ,10430,14080,12253.33 ,,,,,,,,,,,
183,2,k,P7,4550 ,5320,4960,4943.33 ,,,,,,,,,,,
184,2,k,P8,1400 ,2640,1440,1826.67 ,,,,,,,,,,,
185,2,l,P1,4030 ,4570,4330,4310.00 ,,,,,,,,,,,
186,2,l,P2,6980 ,6700,6230,6636.67 ,,,,,,,,,,,
187,2,l,P3,9320 ,10500,11010,26883.33 ,,,,,,,,,,,
188,2,l,P4,26660 ,26340,27650,10276.67 ,,,,,,,,,,,
189,2,l,P5,60290 ,62970,61130,61463.33 ,,,,,,,,,,,
190,2,l,P6,1550 ,2280,3560,2463.33 ,,,,,,,,,,,
191,2,l,P7,3110 ,3380,4970,3820.00 ,,,,,,,,,,,
192,2,l,P8,4270 ,5870,5560,5233.33 ,,,,,,,,,,,
193,3,a,P1,80 ,130,120,110.00 ,,,,,,,,,,,
194,3,a,P2,710 ,590,920,740.00 ,,,,,,,,,,,
195,3,a,P3,980 ,880,810,890.00 ,,,,,,,,,,,
196,3,a,P4,2440 ,2380,2950,2590.00 ,,,,,,,,,,,
197,3,a,P5,8580 ,9320,9670,9190.00 ,,,,,,,,,,,
198,3,a,P6,8430 ,8820,9420,8890.00 ,,,,,,,,,,,
199,3,a,P7,2310 ,2570,2820,2566.67 ,,,,,,,,,,,
200,3,a,P8,980 ,460,660,700.00 ,,,,,,,,,,,
201,3,b,P1,280 ,390,490,386.67 ,,,,,,,,,,,
202,3,b,P2,480 ,850,690,673.33 ,,,,,,,,,,,
203,3,b,P3,1580 ,1460,1970,1670.00 ,,,,,,,,,,,
204,3,b,P4,3680 ,4510,4930,4373.33 ,,,,,,,,,,,
205,3,b,P5,10080 ,9460,11570,10370.00 ,,,,,,,,,,,
206,3,b,P6,12430 ,15930,14620,14326.67 ,,,,,,,,,,,
207,3,b,P7,2280 ,1760,1540,1860.00 ,,,,,,,,,,,
208,3,b,P8,320 ,330,470,373.33 ,,,,,,,,,,,
209,3,c,P1,230 ,150,180,186.67 ,,,,,,,,,,,
210,3,c,P2,320 ,830,570,573.33 ,,,,,,,,,,,
211,3,c,P3,1890 ,2460,2910,2420.00 ,,,,,,,,,,,
212,3,c,P4,6540 ,5870,6900,6436.67 ,,,,,,,,,,,
213,3,c,P5,13840 ,15670,18690,16066.67 ,,,,,,,,,,,
214,3,c,P6,12310 ,14560,15280,14050.00 ,,,,,,,,,,,
215,3,c,P7,1080 ,1460,1220,1253.33 ,,,,,,,,,,,
216,3,c,P8,560 ,410,740,570.00 ,,,,,,,,,,,
217,3,d,P1,120 ,170,150,146.67 ,,,,,,,,,,,
218,3,d,P2,240 ,350,430,340.00 ,,,,,,,,,,,
219,3,d,P3,2600 ,3150,3080,2943.33 ,,,,,,,,,,,
220,3,d,P4,7840 ,7920,8060,7940.00 ,,,,,,,,,,,
221,3,d,P5,15080 ,13240,14970,14430.00 ,,,,,,,,,,,
222,3,d,P6,10280 ,13480,15660,13140.00 ,,,,,,,,,,,
223,3,d,P7,1240 ,2370,1610,1740.00 ,,,,,,,,,,,
224,3,d,P8,300 ,420,490,403.33 ,,,,,,,,,,,
225,3,e,P1,310 ,160,280,250.00 ,,,,,,,,,,,
226,3,e,P2,210 ,110,170,163.33 ,,,,,,,,,,,
227,3,e,P3,1420 ,300,300,673.33 ,,,,,,,,,,,
228,3,e,P4,1680 ,1580,1290,1516.67 ,,,,,,,,,,,
229,3,e,P5,19390 ,20510,38370,26090.00 ,,,,,,,,,,,
230,3,e,P6,17000 ,21720,48210,28976.67 ,,,,,,,,,,,
231,3,e,P7,6840 ,8860,7850,7850.00 ,,,,,,,,,,,
232,3,e,P8,4880 ,2960,4130,3990.00 ,,,,,,,,,,,
233,3,f,P1,860 ,750,620,743.33 ,,,,,,,,,,,
234,3,f,P2,170 ,120,120,136.67 ,,,,,,,,,,,
235,3,f,P3,240 ,450,520,403.33 ,,,,,,,,,,,
236,3,f,P4,160 ,120,170,150.00 ,,,,,,,,,,,
237,3,f,P5,21080 ,22980,23190,22416.67 ,,,,,,,,,,,
238,3,f,P6,39360 ,48990,46410,44920.00 ,,,,,,,,,,,
239,3,f,P7,4880 ,2200,1840,2973.33 ,,,,,,,,,,,
240,3,f,P8,4350 ,5590,7040,5660.00 ,,,,,,,,,,,
241,3,g,P1,2170 ,1920,2570,2220.00 ,,,,,,,,,,,
242,3,g,P2,450 ,250,480,393.33 ,,,,,,,,,,,
243,3,g,P3,610 ,560,580,583.33 ,,,,,,,,,,,
244,3,g,P4,250 ,310,330,296.67 ,,,,,,,,,,,
245,3,g,P5,75860 ,67310,106990,83386.67 ,,,,,,,,,,,
246,3,g,P6,16330 ,19250,24110,19896.67 ,,,,,,,,,,,
247,3,g,P7,27610 ,22950,24570,25043.33 ,,,,,,,,,,,
248,3,g,P8,1990 ,3000,6910,3966.67 ,,,,,,,,,,,
249,3,h,P1,1870 ,1960,1530,1786.67 ,,,,,,,,,,,
250,3,h,P2,2650 ,2430,2980,2686.67 ,,,,,,,,,,,
251,3,h,P3,3480 ,4960,3920,4120.00 ,,,,,,,,,,,
252,3,h,P4,3090 ,2630,2220,2646.67 ,,,,,,,,,,,
253,3,h,P5,250450 ,240310,243990,244916.67 ,,,,,,,,,,,
254,3,h,P6,72950 ,83010,62450,72803.33 ,,,,,,,,,,,
255,3,h,P7,66250 ,64420,66540,65736.67 ,,,,,,,,,,,
256,3,h,P8,6810 ,7530,6960,7100.00 ,,,,,,,,,,,
257,3,i,P1,18930 ,21580,19670,20060.00 ,,,,,,,,,,,
258,3,i,P2,29330 ,31580,33740,31550.00 ,,,,,,,,,,,
259,3,i,P3,48320 ,53020,46540,49293.33 ,,,,,,,,,,,
260,3,i,P4,111690 ,112440,114750,112960.00 ,,,,,,,,,,,
261,3,i,P5,318690 ,276980,384080,326583.33 ,,,,,,,,,,,
262,3,i,P6,81810 ,84680,89600,85363.33 ,,,,,,,,,,,
263,3,i,P7,23680 ,18570,19630,20626.67 ,,,,,,,,,,,
264,3,i,P8,25450 ,21580,17720,21583.33 ,,,,,,,,,,,
265,3,j,P1,1960 ,1590,1440,1663.33 ,,,,,,,,,,,
266,3,j,P2,5200 ,4960,5120,5093.33 ,,,,,,,,,,,
267,3,j,P3,13010 ,17920,11740,14223.33 ,,,,,,,,,,,
268,3,j,P4,19990 ,20610,11950,17516.67 ,,,,,,,,,,,
269,3,j,P5,178980 ,167580,173260,173273.33 ,,,,,,,,,,,
270,3,j,P6,25840 ,22480,23710,24010.00 ,,,,,,,,,,,
271,3,j,P7,4130 ,4350,4490,4323.33 ,,,,,,,,,,,
272,3,j,P8,4450 ,3200,2260,3303.33 ,,,,,,,,,,,
273,3,k,P1,2470 ,1980,2350,2266.67 ,,,,,,,,,,,
274,3,k,P2,5670 ,5120,4760,5183.33 ,,,,,,,,,,,
275,3,k,P3,16180 ,17510,16750,16813.33 ,,,,,,,,,,,
276,3,k,P4,40230 ,46590,56230,47683.33 ,,,,,,,,,,,
277,3,k,P5,99100 ,112890,120600,110863.33 ,,,,,,,,,,,
278,3,k,P6,96040 ,101030,104200,100423.33 ,,,,,,,,,,,
279,3,k,P7,40410 ,55290,63880,53193.33 ,,,,,,,,,,,
280,3,k,P8,6260 ,5630,5640,5843.33 ,,,,,,,,,,,
281,3,l,P1,1960 ,1230,1550,1580.00 ,,,,,,,,,,,
282,3,l,P2,1580 ,1670,1710,1653.33 ,,,,,,,,,,,
283,3,l,P3,1650 ,1800,1880,1776.67 ,,,,,,,,,,,
284,3,l,P4,30410 ,34510,41710,35543.33 ,,,,,,,,,,,
285,3,l,P5,89440 ,104390,96870,96900.00 ,,,,,,,,,,,
286,3,l,P6,13850 ,16580,27900,19443.33 ,,,,,,,,,,,
287,3,l,P7,5270 ,9140,16370,10260.00 ,,,,,,,,,,,
288,3,l,P8,2090 ,2500,2410,2333.33 ,,,,,,,,,,,
289,4,a,P1,80 ,120,90,96.67 ,,,,,,,,,,,
290,4,a,P2,120 ,280,360,253.33 ,,,,,,,,,,,
291,4,a,P3,790 ,850,930,856.67 ,,,,,,,,,,,
292,4,a,P4,880 ,710,1120,903.33 ,,,,,,,,,,,
293,4,a,P5,2540 ,2170,2710,2473.33 ,,,,,,,,,,,
294,4,a,P6,1720 ,1560,1630,1636.67 ,,,,,,,,,,,
295,4,a,P7,690 ,620,770,693.33 ,,,,,,,,,,,
296,4,a,P8,250 ,270,380,300.00 ,,,,,,,,,,,
297,4,b,P1,70 ,130,140,113.33 ,,,,,,,,,,,
298,4,b,P2,210 ,290,320,273.33 ,,,,,,,,,,,
299,4,b,P3,480 ,820,670,656.67 ,,,,,,,,,,,
300,4,b,P4,1810 ,2050,1940,1933.33 ,,,,,,,,,,,
301,4,b,P5,3670 ,3510,3860,3680.00 ,,,,,,,,,,,
302,4,b,P6,4310 ,4580,4470,4453.33 ,,,,,,,,,,,
303,4,b,P7,1020 ,1590,1320,1310.00 ,,,,,,,,,,,
304,4,b,P8,450 ,510,480,480.00 ,,,,,,,,,,,
305,4,c,P1,80 ,60,50,63.33 ,,,,,,,,,,,
306,4,c,P2,110 ,170,90,123.33 ,,,,,,,,,,,
307,4,c,P3,430 ,360,410,400.00 ,,,,,,,,,,,
308,4,c,P4,680 ,720,540,646.67 ,,,,,,,,,,,
309,4,c,P5,4310 ,4220,3580,4036.67 ,,,,,,,,,,,
310,4,c,P6,2780 ,2260,2490,2510.00 ,,,,,,,,,,,
311,4,c,P7,1070 ,1280,1540,1296.67 ,,,,,,,,,,,
312,4,c,P8,360 ,270,410,346.67 ,,,,,,,,,,,
313,4,d,P1,120 ,150,270,180.00 ,,,,,,,,,,,
314,4,d,P2,280 ,560,370,403.33 ,,,,,,,,,,,
315,4,d,P3,890 ,830,720,813.33 ,,,,,,,,,,,
316,4,d,P4,1080 ,1230,1570,1293.33 ,,,,,,,,,,,
317,4,d,P5,5320 ,4970,4880,5056.67 ,,,,,,,,,,,
318,4,d,P6,2560 ,1790,1940,2096.67 ,,,,,,,,,,,
319,4,d,P7,980 ,740,810,843.33 ,,,,,,,,,,,
320,4,d,P8,530 ,240,370,380.00 ,,,,,,,,,,,
321,4,e,P1,170 ,170,190,176.67 ,,,,,,,,,,,
322,4,e,P2,560 ,310,570,480.00 ,,,,,,,,,,,
323,4,e,P3,410 ,510,610,510.00 ,,,,,,,,,,,
324,4,e,P4,230 ,360,340,310.00 ,,,,,,,,,,,
325,4,e,P5,19590 ,15810,17410,17603.33 ,,,,,,,,,,,
326,4,e,P6,14400 ,18810,43090,25433.33 ,,,,,,,,,,,
327,4,e,P7,3970 ,5140,5470,4860.00 ,,,,,,,,,,,
328,4,e,P8,3730 ,2870,3340,3313.33 ,,,,,,,,,,,
329,4,f,P1,330 ,260,410,333.33 ,,,,,,,,,,,
330,4,f,P2,530 ,650,1620,933.33 ,,,,,,,,,,,
331,4,f,P3,1860 ,2620,6030,3503.33 ,,,,,,,,,,,
332,4,f,P4,2730 ,2180,3090,2666.67 ,,,,,,,,,,,
333,4,f,P5,31290 ,26640,24690,27540.00 ,,,,,,,,,,,
334,4,f,P6,16240 ,18530,35720,23496.67 ,,,,,,,,,,,
335,4,f,P7,13900 ,16270,19680,16616.67 ,,,,,,,,,,,
336,4,f,P8,1980 ,1630,4020,2543.33 ,,,,,,,,,,,
337,4,g,P1,160 ,950,210,440.00 ,,,,,,,,,,,
338,4,g,P2,1930 ,1310,1170,1470.00 ,,,,,,,,,,,
339,4,g,P3,800 ,310,310,473.33 ,,,,,,,,,,,
340,4,g,P4,1210 ,830,610,883.33 ,,,,,,,,,,,
341,4,g,P5,42860 ,42910,31390,39053.33 ,,,,,,,,,,,
342,4,g,P6,44670 ,15410,15400,25160.00 ,,,,,,,,,,,
343,4,g,P7,380 ,370,220,323.33 ,,,,,,,,,,,
344,4,g,P8,4020 ,4780,6040,4946.67 ,,,,,,,,,,,
345,4,h,P1,340 ,380,490,403.33 ,,,,,,,,,,,
346,4,h,P2,2480 ,2910,3650,3013.33 ,,,,,,,,,,,
347,4,h,P3,7940 ,6960,17530,10810.00 ,,,,,,,,,,,
348,4,h,P4,10730 ,10380,10950,10686.67 ,,,,,,,,,,,
349,4,h,P5,91450 ,84600,65070,80373.33 ,,,,,,,,,,,
350,4,h,P6,26000 ,27150,24760,25970.00 ,,,,,,,,,,,
351,4,h,P7,13940 ,11510,11310,12253.33 ,,,,,,,,,,,
352,4,h,P8,1210 ,1570,1260,1346.67 ,,,,,,,,,,,
353,4,i,P1,90 ,120,400,203.33 ,,,,,,,,,,,
354,4,i,P2,670 ,860,1080,870.00 ,,,,,,,,,,,
355,4,i,P3,3680 ,3170,3500,3450.00 ,,,,,,,,,,,
356,4,i,P4,88130 ,94160,109610,97300.00 ,,,,,,,,,,,
357,4,i,P5,286100 ,299310,309550,298320.00 ,,,,,,,,,,,
358,4,i,P6,98040 ,95550,96630,96740.00 ,,,,,,,,,,,
359,4,i,P7,18570 ,16170,14910,16550.00 ,,,,,,,,,,,
360,4,i,P8,1590 ,1960,1880,1810.00 ,,,,,,,,,,,
361,4,j,P1,850 ,960,1080,963.33 ,,,,,,,,,,,
362,4,j,P2,1550 ,1040,1040,1210.00 ,,,,,,,,,,,
363,4,j,P3,3710 ,5800,4610,4706.67 ,,,,,,,,,,,
364,4,j,P4,29110 ,20660,18210,22660.00 ,,,,,,,,,,,
365,4,j,P5,111990 ,123810,112630,116143.33 ,,,,,,,,,,,
366,4,j,P6,64400 ,69600,75320,69773.33 ,,,,,,,,,,,
367,4,j,P7,4600 ,4530,5070,4733.33 ,,,,,,,,,,,
368,4,j,P8,650 ,880,1570,1033.33 ,,,,,,,,,,,
369,4,k,P1,290 ,380,450,373.33 ,,,,,,,,,,,
370,4,k,P2,460 ,480,860,600.00 ,,,,,,,,,,,
371,4,k,P3,770 ,860,1850,1160.00 ,,,,,,,,,,,
372,4,k,P4,380 ,840,1950,1056.67 ,,,,,,,,,,,
